id,guide_id,visitor_id,tour_date,rating,comments,feedback_categories,submitted_date,is_public,status,park_id,created_at,updated_at
1,3,8,,4,Modi voluptates explicabo esse tempore aut hic veniam.,,2025-05-15 07:40:09,0,pending,2,2025-05-15 07:40:09,2025-05-15 07:40:09
2,4,7,,3,Corrupti rerum alias excepturi quibusdam eveniet.,,2025-05-15 07:40:09,0,pending,3,2025-05-15 07:40:09,2025-05-15 07:40:09
3,5,6,,4,Voluptate dicta et hic recusandae commodi sit.,,2025-05-15 07:40:09,0,pending,5,2025-05-15 07:40:09,2025-05-15 07:40:09
4,3,16,2025-03-22 07:40:36,5,Very knowledgeable about local flora and fauna.,"[""knowledge""]",2025-05-15 07:40:36,0,approved,3,2025-05-15 07:40:36,2025-05-15 07:40:36
5,3,32,2025-04-22 07:40:36,5,Impressed with the depth of knowledge. Needs to focus more on group awareness and safety.,"[""knowledge"",""safety""]",2025-05-15 07:40:36,1,approved,2,2025-05-15 07:40:36,2025-05-15 07:40:36
6,4,38,2025-03-09 07:40:36,2,Felt secure and informed during the hike. The guide was very friendly and approachable.,"[""safety"",""friendliness""]",2025-05-15 07:40:36,0,approved,1,2025-05-15 07:40:36,2025-05-15 07:40:36
7,4,53,2025-04-27 07:40:36,1,Could improve on storytelling to enhance experience. Tour was delayed unnecessarily.,"[""experience"",""punctuality""]",2025-05-15 07:40:36,1,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
8,5,6,2025-03-23 07:40:36,4,Had difficulty explaining complex topics.,"[""communication""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
9,5,19,2025-04-01 07:40:36,5,Could improve on storytelling to enhance experience. The guide was very friendly and approachable.,"[""experience"",""friendliness""]",2025-05-15 07:40:36,1,approved,2,2025-05-15 07:40:36,2025-05-15 07:40:36
10,14,8,2025-03-24 07:40:36,1,Could improve clarity in speech and responses to questions. Guide arrived 15 minutes late.,"[""communication"",""punctuality""]",2025-05-15 07:40:36,0,approved,1,2025-05-15 07:40:36,2025-05-15 07:40:36
11,14,50,2025-03-11 07:40:36,1,Struggled to answer some basic questions. Tour was delayed unnecessarily.,"[""knowledge"",""punctuality""]",2025-05-15 07:40:36,1,approved,1,2025-05-15 07:40:36,2025-05-15 07:40:36
12,15,20,2025-04-13 07:40:36,2,Very knowledgeable about local flora and fauna.,"[""knowledge""]",2025-05-15 07:40:36,1,approved,3,2025-05-15 07:40:36,2025-05-15 07:40:36
13,15,12,2025-05-05 07:40:36,2,Very respectful of everyone’s time.,"[""punctuality""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
14,22,30,2025-04-11 07:40:36,3,Felt a bit rushed and unorganized. Tour was delayed unnecessarily.,"[""experience"",""punctuality""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
15,22,20,2025-03-05 07:40:36,1,Very knowledgeable about local flora and fauna.,"[""knowledge""]",2025-05-15 07:40:36,0,approved,1,2025-05-15 07:40:36,2025-05-15 07:40:36
16,23,18,2025-04-23 07:40:36,3,Needs to focus more on group awareness and safety. Felt a bit rushed and unorganized.,"[""safety"",""experience""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
17,23,53,2025-04-21 07:40:36,2,Impressed with the depth of knowledge.,"[""knowledge""]",2025-05-15 07:40:36,1,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
18,24,50,2025-05-05 07:40:36,2,Felt secure and informed during the hike. The guide was very friendly and approachable.,"[""safety"",""friendliness""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
19,24,25,2025-02-28 07:40:36,4,Needs more training on park history and wildlife. Could improve on storytelling to enhance experience.,"[""knowledge"",""experience""]",2025-05-15 07:40:36,1,approved,3,2025-05-15 07:40:36,2025-05-15 07:40:36
20,26,20,2025-03-13 07:40:36,4,Felt a bit rushed and unorganized. Guide arrived 15 minutes late.,"[""experience"",""punctuality""]",2025-05-15 07:40:36,0,approved,2,2025-05-15 07:40:36,2025-05-15 07:40:36
21,26,19,2025-03-10 07:40:36,5,Very knowledgeable about local flora and fauna. Needs to focus more on group awareness and safety.,"[""knowledge"",""safety""]",2025-05-15 07:40:36,0,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
22,29,17,2025-05-14 07:40:36,5,Needs more training on park history and wildlife. Made everyone feel welcomed.,"[""knowledge"",""friendliness""]",2025-05-15 07:40:36,0,approved,4,2025-05-15 07:40:36,2025-05-15 07:40:36
23,29,30,2025-04-27 07:40:36,1,Very knowledgeable about local flora and fauna.,"[""knowledge""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
24,34,12,2025-03-17 07:40:36,2,Impressed with the depth of knowledge. Felt secure and informed during the hike.,"[""knowledge"",""safety""]",2025-05-15 07:40:36,0,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
25,34,17,2025-05-05 07:40:36,1,Needs to work on interpersonal skills.,"[""friendliness""]",2025-05-15 07:40:36,1,approved,5,2025-05-15 07:40:36,2025-05-15 07:40:36
